曾有確診或疑似2019冠狀病毒病個案的大廈名單 
曾有確診或疑似個案居住過的住宅大廈名單 
(註: 大廈會在報告日期起計保留在名單內 14天。) 
 
地區 大廈名單 相關確診/疑似個案編號 
大埔 康樂園康樂園第十一街 2394 
西貢 富寧花園6座 2396 
黃大仙 慈民邨民裕樓 2397 
屯門 欣田邨悅田樓 2398 
屯門 大欖涌村 2399 
屯門 兆康苑兆基閣 2400 
沙田 恆安邨恆峰樓 2401 
灣仔 箕璉坊 32 號 2402 
灣仔 箕璉坊 32 號 2403 
沙田 隆亨邨榮心樓 2404 
沙田 隆亨邨榮心樓 2405 
黃大仙 樂富邨宏逸樓 2406 
油尖旺 百安大廈B座 2409 
葵青 IPLACE 2410 
黃大仙 慈樂邨樂天樓 2411 
灣仔 皇悅酒店 2411 
西貢 茵怡花園4座 2412 
觀塘 牛頭角下邨貴新樓 2413 
沙田 隔田村公廟 2414 
油尖旺 友和大樓 2416 
西貢 翠林邨欣林樓 2417 
深水埗 又一居29座 2418 
16 
 
地區 大廈名單 相關確診/疑似個案編號 
深水埗 又一居29座 2419 
葵青 長安邨安江樓 2420 
屯門 友愛邨愛信樓 2421 
黃大仙 黃大仙下邨龍昌樓 2422 
黃大仙 黃大仙下邨龍昌樓 2423 
油尖旺 帝柏海灣第五座 2424 
觀塘 油塘邨美塘樓 2425 
灣仔 箕璉坊 32 號 2426 
東區 杏花邨第１座 2427 
黃大仙 慈正邨正和樓 2428 
北區 大元村 2429 
沙田 錦豐苑錦薇閣 2430 
深水埗 怡閣苑怡康閣 2431 
黃大仙 牛池灣西村 2432 
沙田 顯徑邨顯慶樓 2433 
九龍城 旺德大廈  2434 
屯門 友愛邨愛明樓 2435 
屯門 恒福花園第７座 2436 
黃大仙 竹園北邨橡園樓 2437 
黃大仙 樂富邨宏逸樓 2438 
九龍城 衙前圍道122號 2439 
觀塘 秀茂坪邨秀慧樓 2440 
深水埗 營盤街128號元安大廈 2441 
葵青 長發邨敬發樓 2442 
荃灣 石圍角邨石蓮樓 2443 
油尖旺 國强大廈 2444 
黃大仙 彩虹邨翠瓊樓 2446 
葵青 葵寶大廈 2447 
九龍城 德朗邨德瑞樓 2448 
觀塘 秀茂坪邨秀慧樓 2449 
觀塘 玉蓮臺2座 2450 
黃大仙 彩虹邨翠瓊樓 2451 
油尖旺 百通大樓  2452 
沙田 美松苑麗松閣 2453 
17 
 
地區 大廈名單 相關確診/疑似個案編號 
觀塘 油翠苑溢美閣 2454 
屯門 友愛邨愛信樓 2455 
屯門 友愛邨愛信樓 2456 
屯門 湖景邨湖暉樓 2457 
屯門 景峰花園5座 2458 
屯門 友愛邨愛信樓 2459 
黃大仙 慈愛苑愛聰閣 2460 
沙田 穗禾苑慶宏閣 2461 
黃大仙 竹園北邨桃園樓 2462 
屯門 友愛邨愛信樓 2465 
觀塘 彩盈邨盈樂樓 2467 
東區 富雅花園金楓閣 2468 
東區 東勝樓 2469 
九龍城 碧華花園3座 2470 
觀塘 德福花園D座 2472 
黃大仙 譽‧港灣8座 2473 
油尖旺 寶來大廈 2474 
油尖旺 油麻地救護站 2475 
九龍城 何文田邨適文樓 2476 
黃家圍一台 104、105、106、107、
屯門 2477 
114、115地下及112-113號 
西貢 清水灣半島8座 2478 
西貢 富寧花園 6 座  2479 
黃大仙 慈樂邨樂信樓  2480 
深水埗 元州街174-188號鴻裕大廈  2481 
深水埗 青山道141號 2482 
深水埗 青山道141號 2483 
觀塘 啟業邨啟裕樓 2484 
南區 香港瑞思酒店 2485 
大埔 宏福苑宏盛閣 2486 
元朗 天晴邨晴雲樓 2487 
屯門 康恩園 2488 
西貢 廣明苑廣昌閣 2489 
沙田 愉田苑愉群閣 2491 
18 
 
地區 大廈名單 相關確診/疑似個案編號 
屯門 富泰邨秀泰樓 2493 
油尖旺 弼街38號利發大樓 2495 
觀塘 順利紀律部隊宿舍5座 2496 
東區 東駿苑金駿閣 2497 
觀塘 寶達邨達佳樓 2498 
觀塘 安達邨愛達樓 2499 
黃大仙 彩輝邨彩華樓 2502 
西貢 頌明苑賢明閣 2503 
黃大仙 慈民邨民健樓 2505 
沙田 隆亨邨榮心樓 2506 
油尖旺 好安樓 2507 
油尖旺 先施大廈 2508 
荃灣 象山邨秀山樓 2509 
黃大仙 宏景花園3座 2510 
觀塘 啟業邨啟盛樓 2511 
黃大仙 鳳德邨黛鳳樓 2512 
黃大仙 翠竹花園7座 2513 
葵青 葵盛東邨盛逸樓  2514 
灣仔 寶明大廈 2522 
觀塘 彩盈邨盈順樓 2523 
觀塘 悦品海景酒店 2524 
觀塘 樂華南邨安華樓 2525 
觀塘 油麗邨秀麗樓 2526 
九龍城 黃埔花園棕櫚苑 4期棕櫚苑 6座 2527 
沙田 美田邨美滿樓 2528 
沙田 恆峰花園3座 2529 
黃大仙 慈愛苑愛寧閣 2530 
中西區 西環邨中苑臺 2531 
中西區 西環邨中苑臺 2532 
荃灣 石圍角邨石蓮樓 2533 
葵青 青宏苑宏裕閣 2534 
西貢 香港九龍東智選假日酒店 2535 
西貢 廣明苑廣昌閣 2537 
油尖旺 梳士巴利道香港基督教青年會 2538 
19 
 
地區 大廈名單 相關確診/疑似個案編號 
元朗 屏山坑頭村 2539 
沙田 海栢花園2座 2540 
屯門 泥圍 2541 
元朗 壆圍村 2542 
黃家圍一台 104、105、106、107、
屯門 2543 
114、115地下及112-113號 
觀塘 德田邨德義樓 2544 
中西區 康威花園A座 2546 
黃大仙 彩輝邨彩葉樓 2547 
北區 祥華邨祥景樓 2548 
北區 上水圍 2549 
沙田 錦泰苑錦晶閣 2550 
深水埗 富昌邨富旺樓 2551 
元朗 天耀邨耀澤樓 2552 
灣仔 百旺都中心 2559 
深水埗 大南街190號 2560 
屯門 田景邨田敦樓 2562 
灣仔 寶明大廈 2567 
黃大仙 峻弦1座 2569 
黃大仙 慈愛苑愛富閣 2570 
西貢 頌明苑嘉明閣 2571 
西貢 將軍澳廣場2座 2572 
觀塘 翠屏南邨翠松樓 2573 
觀塘 安泰大樓 2574 
九龍城 大龍樓 2575 
北區 彩園邨彩華樓 2576 
九龍城 馬頭圍邨芙蓉樓  2577 
觀塘 彩盈邨盈樂樓 2578 
沙田 名城3期3座 2579 
沙田 嘉順苑 2580 
沙田 瀝源邨榮瑞樓 2581 
北區 榮福中心2座 2582 
沙田 美田邨美滿樓 2583 
南區 華富邨華泰樓 2584 
20 
 
地區 大廈名單 相關確診/疑似個案編號 
葵青 長安邨安江樓 2585 
